Year,"Total forcing [V,S,L,G]"
1311,-0.04683561
1312,-0.047588359
1313,-0.0389875
1314,-0.0356879
1315,-0.0319168
1316,-0.0295346
1317,-0.2126719999999999
1318,-0.1270685
1319,-0.046531
1320,-0.03231126
1321,-0.03137957
1322,-0.0320054999999999
1323,-0.0329498
1324,-0.0312365999999999
1325,-0.0293445999999999
1326,-0.0271239999999999
1327,-0.0261266
1328,-0.0251379
1329,-1.2870233000000002
1330,-0.8671937000000001
1331,-0.1913515
1332,-0.0606131
1333,-0.03974242
1334,-0.0372637149999999
1335,-0.0484861
1336,-0.0406622
1337,-0.0304415
1338,-0.0256319
1339,-0.0199714999999999
1340,-0.0261993999999999
1341,-0.0333891
1342,-2.9858708
1343,-1.6706609999999995
1344,-0.3514156
1345,-0.1094515
1346,-0.0851991
1347,-0.0559283969999999
1348,-0.0278600999999999
1349,-0.0134746
1350,0.0029004
1351,-0.0099193999999999
1352,-0.0253704
1353,-0.0369291999999999
1354,-0.0556029
1355,-0.0687972
1356,-0.0795544
1357,-0.0866488
1358,-0.0553862
1359,-0.1265077
1360,-0.054255
1361,0.0180082
1362,0.0088228199999999
1363,-0.011690845
1364,-0.0279705
1365,-0.0548767
1366,-0.0738449
1367,-0.0897279
1368,-0.0796313
1369,-0.0491628999999999
1370,-0.010832
1371,-0.3275512
1372,-0.1810283999999999
1373,-0.028647
1374,-0.01760891
1375,-0.02944886
1376,-0.0560929
1377,-0.0761114
1378,-0.0925887999999999
1379,-0.0722983
1380,-0.0502878999999999
1381,-0.0221317
1382,-0.5427917000000001
1383,-0.2780515
1384,-0.0592312999999999
1385,-0.0340136999999999
1386,-0.04062029
1387,-0.061046895
1388,-0.0768355999999999
1389,-0.090458
1390,-0.0738674999999999
1391,-0.0593753
1392,-0.0408131999999999
1393,-0.0320345
1394,-0.0218314
1395,-0.0335578
1396,-0.0475040999999999
1397,-0.0585236
1398,-0.0750424
1399,-0.0874821
1400,-0.0983296999999999
1401,-0.0853428
1402,-0.0780099
1403,-0.0677258
1404,-0.0636694
1405,-0.0586986999999999
1406,-0.0667061
1407,-0.0758473
1408,-0.0831418
1409,-0.0934801
1410,-0.1012508999999999
1411,-0.1076447
1412,-0.0950501
1413,-0.0929633
1414,-0.0898194
1415,-0.0880854
1416,-0.0860267
1417,-0.8656022
1418,-0.550972
1419,-0.1764641
1420,-0.1065325999999999
1421,-0.09488494
1422,-0.092830321
1423,-0.0854773
1424,-0.0838853
1425,-0.0820752
1426,-0.0803139
1427,-0.0783364
1428,-0.0762411
1429,-0.0740965
1430,-0.0720119999999999
1431,-0.0700139999999999
1432,-0.0682568
1433,-0.0668042
1434,-0.0656863999999999
1435,-0.0649725999999999
1436,-0.0644231
1437,-0.0643379
1438,-0.0644486
1439,-0.0648214
1440,-0.0655541999999999
1441,-0.0663772
1442,-0.0674901
1443,-0.0687573
1444,-0.0702107999999999
1445,-0.0718168999999999
1446,-0.0735392
1447,-0.0754104
1448,-0.0772643
1449,-0.0793617
1450,-0.0814680999999999
1451,-0.0835349
1452,-0.0857397
1453,-12.3670321
1454,-7.0302047000000005
1455,-1.3743318000000002
1456,-0.3136566999999999
1457,-0.1332832
1458,-0.10133884
1459,-0.1004618999999999
1460,-1.5032887
1461,-1.0360614999999995
1462,-0.2844764
1463,-0.1382927
1464,-0.11416672
1465,-0.11063974
1466,-0.1114904999999999
1467,-0.112461
1468,-0.1131758
1469,-0.1136825
1470,-0.1139915
1471,-0.1139638999999999
1472,-0.1140407
1473,-0.1133751
1474,-0.1125048999999999
1475,-0.4482388
1476,-0.2901951
1477,-1.1650865
1478,-0.6578301
1479,-0.208441
1480,-0.1199639
1481,-0.7022134
1482,-0.3060048000000001
1483,-0.1323978
1484,-0.0975007299999999
1485,-0.08879818
1486,-0.0844484
1487,-0.0809684
1488,-0.0774348
1489,-0.0748906
1490,-0.0706156
1491,-0.0661173
1492,-0.062007
1493,-0.0577962
1494,-0.0549576
1495,-0.0518113
1496,-0.0486607
1497,-0.0458527
1498,-0.0429965999999999
1499,-0.0402017999999999
1500,-0.0418813
1501,-0.0353693
1502,-0.0280520999999999
1503,-0.0232954999999999
1504,-0.1283631
1505,-0.0918212
1506,-0.0335472
1507,-0.02248261
1508,-0.022760854
1509,-0.023622852
1510,-0.0245175999999999
1511,-0.0212156
1512,-0.0177216999999999
1513,-0.2848624999999999
1514,-0.1918636
1515,-0.0436384
1516,-0.0168434199999999
1517,-0.0139983999999999
1518,-0.0147065999999999
1519,-0.0177975999999999
1520,-0.019754
1521,-0.0215282999999999
1522,-0.0182530999999999
1523,-0.0172645
1524,-0.0160871999999999
1525,-0.0154538
