Year,Annual,Annual_uncertainty
1993.0,0.166,0.0713443819325203
1994.0,0.234,0.0875980006747997
1995.0,0.377,0.1084357208467558
1996.0,0.277,0.0830123819412234
1997.0,0.422,0.1083723006840565
1998.0,0.577,0.1195445058916924
1999.0,0.324,0.091043487777362
2000.0,0.331,0.1127123612958618
2001.0,0.489,0.0788047428775705
2002.0,0.543,0.109719433860491
2003.0,0.544,0.0796786514695122
2004.0,0.467,0.1180793048007237
2005.0,0.607,0.0456925109351144
2006.0,0.573,0.0779780506866444
2007.0,0.592,0.115974224866275
2008.0,0.466,0.1255603827734776
2009.0,0.597,0.0791805251028026
2010.0,0.68,0.1143069393732895
2011.0,0.538,0.0708430875636822
2012.0,0.578,0.1145704538216065
2013.0,0.624,0.0662425572339178
2014.0,0.673,0.0768184638540038
2015.0,0.825,0.1167681701302009
2016.0,0.933,0.1537703916016777
2017.0,0.845,0.1184117991023979
2018.0,0.763,0.0545135049526465
2019.0,0.891,0.0931654740531896
2020.0,0.923,0.1351787910715122
2021.0,0.762,0.0877884135609908
2022.0,0.801,0.0660089955990848
2023.0,1.1,0.1898487702239747
2024.0,1.175,0.0709665054653192
